economy,Country,year,gdp_per_capita,country_ISO3,country_name
ARG,Argentina,2017,14532.5009308511,ARG,Argentina
VNM,Viet Nam,2018,3222.31003125366,VNM,Vietnam
UGA,Uganda,2018,792.16570022814,UGA,Uganda
TZA,Tanzania,2018,1023.10626220703,TZA,Tanzania
TUR,Turkiye,2018,9684.11819884721,TUR,Türkiye
RWA,Rwanda,2018,771.773511207309,RWA,Rwanda
PER,Peru,2018,6978.49121548627,PER,Peru
NIC,Nicaragua,2018,2035.16549390507,NIC,Nicaragua
MWI,Malawi,2018,533.202567189331,MWI,Malawi
MEX,Mexico,2018,10084.7937562021,MEX,Mexico
LKA,Sri Lanka,2018,4358.56095906047,LKA,Sri Lanka
KEN,Kenya,2018,1836.45275528993,KEN,Kenya
JPN,Japan,2018,39751.1330982711,JPN,Japan
IRN,"Iran, Islamic Rep.",2018,4783.01067340237,IRN,Iran
IND,India,2018,1966.25455171679,IND,India
IDN,Indonesia,2018,3860.95353090726,IDN,Indonesia
HND,Honduras,2018,2464.64241531918,HND,Honduras
GTM,Guatemala,2018,4352.94593289707,GTM,Guatemala
GIN,Guinea,2018,933.273615633705,GIN,Guinea
ETH,Ethiopia,2018,739.702022272086,ETH,Ethiopia
CRI,Costa Rica,2018,12590.2493781614,CRI,Costa Rica
COL,Colombia,2018,6816.96818309544,COL,Colombia
CIV,Cote d'Ivoire,2018,2130.86619381144,CIV,Côte d'Ivoire
CHN,China,2018,10085.6638148819,CHN,China
BRA,Brazil,2018,9300.66072904004,BRA,Brazil
BGD,Bangladesh,2018,1965.24372731467,BGD,Bangladesh
ARG,Argentina,2018,11752.7998922979,ARG,Argentina
VNM,Viet Nam,2019,3440.90025375434,VNM,Vietnam
UGA,Uganda,2019,822.171150036357,UGA,Uganda
TZA,Tanzania,2019,1063.32250976563,TZA,Tanzania
TUR,Turkiye,2019,9395.23378001368,TUR,Türkiye
RWA,Rwanda,2019,810.051412137354,RWA,Rwanda
PER,Peru,2019,7037.00803692604,PER,Peru
NIC,Nicaragua,2019,1958.62051528095,NIC,Nicaragua
MWI,Malawi,2019,580.889139762475,MWI,Malawi
MEX,Mexico,2019,10369.5553585271,MEX,Mexico
LKA,Sri Lanka,2019,4081.94772722003,LKA,Sri Lanka
KEN,Kenya,2019,1960.40808854893,KEN,Kenya
JPN,Japan,2019,40415.9567649547,JPN,Japan
IRN,"Iran, Islamic Rep.",2019,3997.4935449585,IRN,Iran
IND,India,2019,2041.42863698585,IND,India
IDN,Indonesia,2019,4106.94856160358,IDN,Indonesia
HND,Honduras,2019,2502.32744328073,HND,Honduras
GTM,Guatemala,2019,4511.99839552697,GTM,Guatemala
GIN,Guinea,2019,1031.34146480732,GIN,Guinea
ETH,Ethiopia,2019,793.473247210264,ETH,Ethiopia
CRI,Costa Rica,2019,12884.6859951989,CRI,Costa Rica
COL,Colombia,2019,6472.54544924705,COL,Colombia
CIV,Cote d'Ivoire,2019,2141.76836170115,CIV,Côte d'Ivoire
CHN,China,2019,10342.9009524335,CHN,China
BRA,Brazil,2019,9029.83304401079,BRA,Brazil
BGD,Bangladesh,2019,2129.79896954606,BGD,Bangladesh
ARG,Argentina,2019,9955.97478680428,ARG,Argentina
VNM,Viet Nam,2020,3534.03953482647,VNM,Vietnam
UGA,Uganda,2020,845.766463890124,UGA,Uganda
TZA,Tanzania,2020,1117.41528320313,TZA,Tanzania
TUR,Turkiye,2020,8798.11791709313,TUR,Türkiye
RWA,Rwanda,2020,778.701498925026,RWA,Rwanda
PER,Peru,2020,6133.32552410183,PER,Peru
NIC,Nicaragua,2020,1938.44704754382,NIC,Nicaragua
MWI,Malawi,2020,602.507478176106,MWI,Malawi
MEX,Mexico,2020,8841.27075039868,MEX,Mexico
LKA,Sri Lanka,2020,3847.60137695639,LKA,Sri Lanka
KEN,Kenya,2020,1927.66459027849,KEN,Kenya
JPN,Japan,2020,40028.7341726762,JPN,Japan
IRN,"Iran, Islamic Rep.",2020,3202.50003502169,IRN,Iran
IND,India,2020,1907.04251637669,IND,India
IDN,Indonesia,2020,3853.70288774146,IDN,Indonesia
HND,Honduras,2020,2307.61494319511,HND,Honduras
GTM,Guatemala,2020,4477.61785000665,GTM,Guatemala
GIN,Guinea,2020,1053.66097696415,GIN,Guinea
ETH,Ethiopia,2020,829.790982547947,ETH,Ethiopia
CRI,Costa Rica,2020,12394.0493969492,CRI,Costa Rica
COL,Colombia,2020,5339.68711357943,COL,Colombia
CIV,Cote d'Ivoire,2020,2179.72934832935,CIV,Côte d'Ivoire
CHN,China,2020,10627.4637989619,CHN,China
BRA,Brazil,2020,7074.19407495707,BRA,Brazil
BGD,Bangladesh,2020,2248.85078828233,BGD,Bangladesh
ARG,Argentina,2020,8535.59938004389,ARG,Argentina
VNM,Viet Nam,2021,3704.1935590038,VNM,Vietnam
UGA,Uganda,2021,882.791717542504,UGA,Uganda
TZA,Tanzania,2021,1159.85656738281,TZA,Tanzania
TUR,Turkiye,2021,9981.76398411336,TUR,Türkiye
RWA,Rwanda,2021,829.544845263697,RWA,Rwanda
PER,Peru,2021,6826.20255614477,PER,Peru
NIC,Nicaragua,2021,2138.38588469449,NIC,Nicaragua
MWI,Malawi,2021,617.446994451007,MWI,Malawi
MEX,Mexico,2021,10314.0506722115,MEX,Mexico
LKA,Sri Lanka,2021,3996.96240014909,LKA,Sri Lanka
KEN,Kenya,2021,2061.35622089594,KEN,Kenya
JPN,Japan,2021,40094.5599795288,JPN,Japan
IRN,"Iran, Islamic Rep.",2021,4605.14881318992,IRN,Iran
IND,India,2021,2239.61384367482,IND,India
IDN,Indonesia,2021,4287.17313995098,IDN,Indonesia
HND,Honduras,2021,2735.14751503977,HND,Honduras
GTM,Guatemala,2021,4912.62240414681,GTM,Guatemala
GIN,Guinea,2021,1244.96550477914,GIN,Guinea
ETH,Ethiopia,2021,893.00983544905,ETH,Ethiopia
CRI,Costa Rica,2021,12838.1185358931,CRI,Costa Rica
COL,Colombia,2021,6222.62164397614,COL,Colombia
CIV,Cote d'Ivoire,2021,2455.98127641148,CIV,Côte d'Ivoire
CHN,China,2021,12887.4357242941,CHN,China
BRA,Brazil,2021,7972.53696080695,BRA,Brazil
BGD,Bangladesh,2021,2482.84917843357,BGD,Bangladesh
ARG,Argentina,2021,10738.0179223384,ARG,Argentina
VNM,Viet Nam,2022,4147.69777213621,VNM,Vietnam
UGA,Uganda,2022,963.067314117178,UGA,Uganda
TZA,Tanzania,2022,1207.52062988281,TZA,Tanzania
TUR,Turkiye,2022,10897.8397861365,TUR,Türkiye
RWA,Rwanda,2022,975.469323735369,RWA,Rwanda
PER,Peru,2022,7350.63034300417,PER,Peru
NIC,Nicaragua,2022,2322.89053964583,NIC,Nicaragua
MWI,Malawi,2022,604.269740360317,MWI,Malawi
MEX,Mexico,2022,11405.7940473759,MEX,Mexico
LKA,Sri Lanka,2022,3342.63650253855,LKA,Sri Lanka
KEN,Kenya,2022,2109.56288513137,KEN,Kenya
JPN,Japan,2022,34065.6438962526,JPN,Japan
IRN,"Iran, Islamic Rep.",2022,4721.20437099984,IRN,Iran
IND,India,2022,2347.44829434623,IND,India
IDN,Indonesia,2022,4730.83484836107,IDN,Indonesia
HND,Honduras,2022,3003.28996826399,HND,Honduras
GTM,Guatemala,2022,5358.70156997677,GTM,Guatemala
GIN,Guinea,2022,1416.59612011764,GIN,Guinea
ETH,Ethiopia,2022,982.103161506992,ETH,Ethiopia
CRI,Costa Rica,2022,13625.9008491328,CRI,Costa Rica
COL,Colombia,2022,6680.44506854481,COL,Colombia
CIV,Cote d'Ivoire,2022,2333.37128301259,CIV,Côte d'Ivoire
CHN,China,2022,12970.6056414327,CHN,China
BRA,Brazil,2022,9281.33282136864,BRA,Brazil
BGD,Bangladesh,2022,2716.48592780431,BGD,Bangladesh
ARG,Argentina,2022,13962.1894087223,ARG,Argentina
VNM,Viet Nam,2023,4323.35031982451,VNM,Vietnam
UGA,Uganda,2023,1002.30913917142,UGA,Uganda
TZA,Tanzania,2023,1224.00219726563,TZA,Tanzania
TUR,Turkiye,2023,13375.0947282864,TUR,Türkiye
RWA,Rwanda,2023,1027.03446826565,RWA,Rwanda
PER,Peru,2023,7887.54185920108,PER,Peru
NIC,Nicaragua,2023,2609.44492072931,NIC,Nicaragua
MWI,Malawi,2023,633.214767978695,MWI,Malawi
MEX,Mexico,2023,13860.9597809326,MEX,Mexico
LKA,Sri Lanka,2023,3798.89016573011,LKA,Sri Lanka
KEN,Kenya,2023,1942.58802756191,KEN,Kenya
JPN,Japan,2023,33836.1756271617,JPN,Japan
IRN,"Iran, Islamic Rep.",2023,5049.29931642754,IRN,Iran
IND,India,2023,2530.12031278204,IND,India
IDN,Indonesia,2023,4876.30774512252,IDN,Indonesia
HND,Honduras,2023,3227.45762509776,HND,Honduras
GTM,Guatemala,2023,5758.32760847852,GTM,Guatemala
GIN,Guinea,2023,1555.49375806861,GIN,Guinea
ETH,Ethiopia,2023,1055.81091592527,ETH,Ethiopia
CRI,Costa Rica,2023,16942.0268119375,CRI,Costa Rica
COL,Colombia,2023,7000.83660501046,COL,Colombia
CIV,Cote d'Ivoire,2023,2591.9659048119,CIV,Côte d'Ivoire
CHN,China,2023,12951.1782397043,CHN,China
BRA,Brazil,2023,10377.5897719195,BRA,Brazil
BGD,Bangladesh,2023,2551.01773827307,BGD,Bangladesh
ARG,Argentina,2023,14261.8465667948,ARG,Argentina
